"time_min","std-100|1","std-100|2","std-100|3","std-100|4","std-100|5","std-100|6","std-100|7","std-100|8","std-100|9","std-100|10","std-100|11","sample-1|1","sample-1|2","sample-1|3","sample-1|4","sample-1|5","sample-1|6","sample-1|7","sample-1|8","sample-1|9","sample-1|10","sample-1|11","sample-3|1","sample-3|2","sample-3|3","sample-3|4","sample-3|5","sample-3|6","sample-3|7","sample-3|8","sample-3|9","sample-3|10","sample-3|11"
0,125,101,88,59,29,13,-19,-57,-92,-157,-283,2656,2129,1867,1246,988,741,643,523,368,-1538,-2185,-28948,-28771,-28567,-28441,-28269,-28211,-28184,-28045,-27829,-28227,-28372
0.00833,90,77,68,47,21,7,-23,-60,-94,-157,-283,1945,1649,1508,1053,875,670,589,478,331,-1551,-2191,-27700,-27780,-27911,-27884,-27848,-27906,-27988,-27899,-27708,-28182,-28331
0.01667,56,53,49,35,14,1,-28,-63,-96,-158,-283,1257,1178,1151,861,764,600,535,434,293,-1564,-2197,-26446,-26787,-27254,-27327,-27426,-27600,-27792,-27753,-27587,-28137,-28290
0.025,23,29,29,23,6,-5,-32,-66,-98,-159,-283,615,726,800,672,652,530,482,390,256,-1577,-2203,-25189,-25795,-26598,-26770,-27005,-27295,-27596,-27606,-27467,-28092,-28248
0.03333,-8,7,10,11,-2,-12,-36,-69,-100,-159,-283,24,296,458,486,542,460,428,345,218,-1591,-2209,-23932,-24803,-25942,-26214,-26583,-26991,-27400,-27460,-27346,-28047,-28207
0.04167,-37,-15,-9,-1,-9,-18,-41,-72,-102,-160,-283,-516,-110,123,303,434,391,375,301,181,-1604,-2215,-22677,-23814,-25287,-25658,-26162,-26686,-27204,-27314,-27225,-28002,-28166
0.05,-64,-36,-28,-12,-17,-24,-45,-75,-104,-161,-283,-1008,-495,-203,124,326,323,322,257,144,-1617,-2221,-21429,-22829,-24634,-25103,-25741,-26381,-27008,-27168,-27104,-27957,-28125
0.05833,-90,-56,-46,-24,-24,-30,-49,-78,-106,-162,-283,-1453,-857,-521,-51,221,255,269,213,106,-1630,-2227,-20189,-21848,-23981,-24549,-25321,-26076,-26812,-27021,-26983,-27912,-28084
0.06667,-114,-75,-64,-35,-31,-36,-54,-81,-108,-162,-283,-1853,-1197,-830,-222,116,187,216,169,69,-1644,-2233,-18960,-20874,-23331,-23996,-24901,-25772,-26616,-26875,-26863,-27867,-28042
0.075,-136,-93,-81,-46,-39,-42,-58,-84,-110,-163,-283,-2209,-1517,-1131,-389,14,121,163,125,32,-1657,-2239,-17744,-19906,-22682,-23444,-24482,-25468,-26421,-26729,-26742,-27822,-28001
0.08333,-157,-110,-98,-57,-46,-48,-62,-87,-112,-164,-283,-2523,-1816,-1425,-553,-87,55,111,81,-5,-1670,-2245,-16546,-18948,-22037,-22894,-24064,-25164,-26225,-26583,-26621,-27777,-27960
0.09167,-177,-126,-115,-67,-53,-53,-67,-90,-114,-165,-283,-2797,-2095,-1710,-713,-187,-11,59,37,-43,-1684,-2250,-15367,-17998,-21393,-22346,-23646,-24860,-26029,-26437,-26500,-27732,-27919
0.1,-195,-142,-132,-77,-59,-59,-71,-93,-115,-165,-283,-3033,-2355,-1987,-869,-284,-75,7,-6,-80,-1697,-2256,-14211,-17060,-20753,-21800,-23229,-24557,-25834,-26290,-26380,-27687,-27878
0.10833,-211,-157,-148,-87,-66,-65,-75,-96,-117,-166,-283,-3233,-2595,-2257,-1022,-380,-139,-45,-50,-117,-1710,-2262,-13079,-16134,-20117,-21256,-22813,-24254,-25638,-26144,-26259,-27642,-27836
0.11667,-226,-171,-163,-97,-73,-71,-79,-99,-119,-167,-283,-3397,-2817,-2519,-1171,-475,-202,-96,-93,-154,-1723,-2268,-11976,-15221,-19484,-20714,-22399,-23951,-25443,-25998,-26138,-27597,-27795
0.125,-240,-184,-179,-107,-79,-76,-83,-102,-121,-167,-283,-3528,-3021,-2773,-1317,-568,-265,-147,-137,-191,-1736,-2274,-10903,-14323,-18856,-20175,-21985,-23648,-25247,-25852,-26018,-27552,-27754
0.13333,-252,-196,-194,-117,-85,-82,-88,-105,-123,-168,-283,-3628,-3208,-3019,-1459,-660,-327,-198,-180,-228,-1750,-2280,-9864,-13441,-18232,-19639,-21573,-23346,-25052,-25706,-25897,-27507,-27713
0.14167,-263,-208,-209,-126,-92,-87,-92,-108,-125,-169,-283,-3698,-3378,-3258,-1598,-750,-388,-248,-223,-265,-1763,-2286,-8861,-12576,-17612,-19105,-21161,-23045,-24857,-25560,-25776,-27462,-27671
0.15,-273,-219,-223,-135,-98,-92,-96,-111,-127,-170,-283,-3740,-3531,-3490,-1733,-838,-449,-298,-266,-302,-1776,-2292,-7897,-11729,-16998,-18575,-20752,-22744,-24662,-25415,-25656,-27417,-27630
0.15833,-282,-229,-237,-144,-103,-98,-100,-114,-129,-170,-283,-3756,-3668,-3714,-1865,-925,-509,-348,-309,-339,-1789,-2298,-6975,-10901,-16390,-18048,-20343,-22443,-24467,-25269,-25535,-27372,-27589
0.16667,-290,-238,-251,-153,-109,-103,-104,-117,-131,-171,-283,-3747,-3790,-3932,-1993,-1010,-568,-398,-351,-375,-1802,-2304,-6098,-10094,-15787,-17525,-19937,-22143,-24273,-25123,-25415,-27327,-27548
0.175,-297,-247,-265,-161,-115,-108,-108,-120,-133,-172,-283,-3715,-3897,-4141,-2118,-1094,-627,-447,-394,-412,-1816,-2310,-5268,-9309,-15190,-17006,-19532,-21844,-24078,-24977,-25294,-27282,-27507
0.18333,-302,-256,-278,-170,-120,-113,-111,-122,-135,-172,-283,-3662,-3989,-4344,-2240,-1177,-685,-496,-436,-449,-1829,-2316,-4489,-8547,-14600,-16490,-19128,-21545,-23884,-24832,-25174,-27237,-27465
0.19167,-307,-263,-291,-178,-126,-118,-115,-125,-137,-173,-283,-3589,-4067,-4540,-2358,-1258,-742,-545,-478,-485,-1842,-2321,-3762,-7810,-14016,-15979,-18727,-21247,-23690,-24686,-25053,-27192,-27424
0.2,-311,-270,-303,-186,-131,-123,-119,-128,-139,-174,-283,-3499,-4132,-4729,-2473,-1337,-798,-593,-520,-522,-1855,-2327,-3092,-7098,-13440,-15471,-18327,-20949,-23496,-24541,-24933,-27147,-27383
0.20833,-314,-277,-315,-194,-136,-128,-123,-131,-141,-175,-283,-3393,-4185,-4911,-2585,-1415,-854,-641,-562,-558,-1868,-2333,-2480,-6412,-12871,-14969,-17929,-20652,-23302,-24395,-24813,-27102,-27342
0.21667,-316,-282,-327,-201,-141,-133,-127,-134,-143,-175,-283,-3272,-4224,-5087,-2694,-1492,-910,-689,-604,-595,-1881,-2339,-1929,-5755,-12310,-14471,-17534,-20356,-23108,-24250,-24693,-27057,-27301
0.225,-317,-288,-339,-209,-146,-137,-130,-136,-145,-176,-283,-3139,-4252,-5256,-2800,-1567,-964,-736,-646,-631,-1894,-2345,-1443,-5127,-11757,-13978,-17140,-20060,-22914,-24105,-24572,-27012,-27259
0.23333,-317,-292,-350,-216,-151,-142,-134,-139,-147,-177,-283,-2995,-4268,-5418,-2903,-1640,-1019,-783,-687,-667,-1907,-2351,-1023,-4529,-11212,-13491,-16749,-19765,-22721,-23960,-24452,-26967,-27218
0.24167,-317,-297,-361,-223,-155,-146,-137,-142,-148,-177,-283,-2842,-4274,-5574,-3002,-1712,-1072,-830,-729,-703,-1920,-2357,-674,-3963,-10676,-13008,-16360,-19471,-22528,-23815,-24332,-26922,-27177
0.25,-316,-300,-372,-230,-160,-151,-141,-144,-150,-178,-282,-2681,-4269,-5723,-3099,-1783,-1125,-877,-770,-739,-1933,-2363,-397,-3430,-10150,-12532,-15974,-19178,-22335,-23670,-24212,-26877,-27136
