"run","drift","lambda","err_pct"
"std-100","線性斜坡",1000,-11.7715938437751
"std-100","線性斜坡",10000,-1.72473122469241
"std-100","線性斜坡",1e+05,-1.11080536640534
"std-100","線性斜坡",1e+06,-0.294638252355236
"std-100","線性斜坡",1e+07,-0.375650878917255
"std-100","指數衰減(溶劑前緣)",1000,-5.42012051797382
"std-100","指數衰減(溶劑前緣)",10000,-1.72299254284079
"std-100","指數衰減(溶劑前緣)",1e+05,-0.0735977271300279
"std-100","指數衰減(溶劑前緣)",1e+06,16.719018981576
"std-100","指數衰減(溶劑前緣)",1e+07,17.3959678350372
"std-100","緩弧(半週期)",1000,-11.7706845591035
"std-100","緩弧(半週期)",10000,-6.30272003605901
"std-100","緩弧(半週期)",1e+05,-1.08405919240086
"std-100","緩弧(半週期)",1e+06,-0.275650736749803
"std-100","緩弧(半週期)",1e+07,86.3694823701925
"std-100","起伏(1.5 週期)",1000,-11.8770727972752
"std-100","起伏(1.5 週期)",10000,-1.61619829787859
"std-100","起伏(1.5 週期)",1e+05,1.32958941955816
"std-100","起伏(1.5 週期)",1e+06,100.122095271289
"std-100","起伏(1.5 週期)",1e+07,103.132850410901
"sample-1","線性斜坡",1000,-6.60240585403529
"sample-1","線性斜坡",10000,-2.00814491852666
"sample-1","線性斜坡",1e+05,-1.32986648739336
"sample-1","線性斜坡",1e+06,-0.220030676076876
"sample-1","線性斜坡",1e+07,-0.149761623605008
"sample-1","指數衰減(溶劑前緣)",1000,0.0105135149501816
"sample-1","指數衰減(溶劑前緣)",10000,0.00208992239947414
"sample-1","指數衰減(溶劑前緣)",1e+05,-0.000106596923089108
"sample-1","指數衰減(溶劑前緣)",1e+06,-0.0353526612139188
"sample-1","指數衰減(溶劑前緣)",1e+07,10.2292126635177
"sample-1","緩弧(半週期)",1000,-16.2424736833746
"sample-1","緩弧(半週期)",10000,-2.00555524300156
"sample-1","緩弧(半週期)",1e+05,-1.29708990561612
"sample-1","緩弧(半週期)",1e+06,-0.189411397625626
"sample-1","緩弧(半週期)",1e+07,60.4757573637329
"sample-1","起伏(1.5 週期)",1000,-16.2219015342951
"sample-1","起伏(1.5 週期)",10000,-1.86692347095525
"sample-1","起伏(1.5 週期)",1e+05,51.7067317319171
"sample-1","起伏(1.5 週期)",1e+06,57.3975900889689
"sample-1","起伏(1.5 週期)",1e+07,58.3339804098748
