"lambda","differences","r2","max_rec_err","keep","slope_ratio","s1","s2","s3","s4"
100,1,0.999439375235694,2.97226982740568,1.00236175426462,0.993506576032687,92.6922398887884,83.7128602879481,86.1130189486296,87.4181853279578
1000,1,0.999518514321337,2.98497786180134,1.0049573160391,0.99982087357243,92.628615992539,84.5495510558974,92.3664517991635,87.1370953453426
10000,1,0.999466858505425,3.12338921650755,1.00531731629508,1.00076607566266,93.2057799088919,86.3275150592221,118.272265393818,87.3212365029476
1e+05,1,0.99946188399573,3.16080646366704,1.00564291279721,1.0007147200049,93.2654016247988,86.295104017365,117.93957306892,87.7151095931393
1e+06,1,0.999461302778004,3.16043211965578,1.0056722199677,1.00062992101597,93.2727371593821,86.2668707776669,117.954790684037,87.6919737296371
1e+07,1,0.999461154039986,3.16047525689163,1.00567389335812,1.00062194777988,93.2734731850649,86.2669503029002,117.956406831065,87.6915351666659
1e+08,1,0.999461164878688,3.16060061667126,1.00567564004001,1.00061972518657,93.273461563362,86.2668631191154,117.956517709305,87.6913977873743
100,2,0.999289538432108,4.9514048133741,0.926159780023367,0.883798460338393,72.8865347875464,72.1129090530244,68.0038259295975,74.9139630521116
1000,2,0.999299541022433,4.33400919429384,0.988182225042028,0.973462188904081,84.9345589149065,81.465016347558,83.5704094220256,83.286542499217
10000,2,0.999351449508743,4.87558131620393,0.997440896686666,0.989737735651944,91.0148034059393,83.0154036170011,85.8013737693121,86.068221672968
1e+05,2,0.999388798676226,2.92869752925228,1.00212561069347,0.995901648759765,92.3750401324887,83.2864169690157,85.8629498122226,87.1442221676301
1e+06,2,0.999372259337325,2.99231017457622,1.0035805335712,1.00031657850575,92.660075162252,84.327262818129,86.2594901427636,87.2259937382088
1e+07,2,0.999453441146416,3.00847117768613,1.00466669677335,1.00128682062229,92.6686389230066,84.465413341004,92.1086454195573,87.1465790567691
1e+08,2,0.999471509731922,3.05502225590824,1.00498849591986,1.00149493495994,92.7620129368293,85.0136683424978,93.1930039160366,87.1492517908688
