"time_min","std-0_bc","std-0_aligned","std-25_bc","std-25_aligned","std-50_bc","std-50_aligned","std-100_bc","std-100_aligned","std-150_bc","std-150_aligned","std-200_bc","std-200_aligned","sample-1_bc","sample-1_aligned","sample-2_bc","sample-2_aligned","sample-3_bc","sample-3_aligned","sample-4_bc","sample-4_aligned"
0,-67069.27,-67069.27,405.7,405.7,-523.57,-523.57,247.74,247.74,-356.77,-356.77,22.75,22.75,4873.08,4873.08,-599.84,-599.84,-21514.17,-21514.17,551.83,551.83
0.00833,-67727.81,-67696.63,406.23,406.22,-528.34,-528.33,248.15,248.15,-359.76,-357.11,22.78,22.74,4879.36,1950.58,-605.05,-350.98,-21694.01,-4543.91,552.77,425.04
0.01667,-66007.33,-66170.22,0.18,13.39,-413.48,-413.93,83.97,83.97,102.83,102.77,1.84,1.84,-46.32,-42.34,-177.76,210.77,6369.79,5915.65,349.56,-11.84
0.025,-60848.5,-61581.11,0.3,0.3,230.3,226.55,47.17,47.17,97.69,97.58,1.93,1.92,-43.35,-35.45,213.3,190.32,5998.86,5321.01,-12,-10.83
0.03333,-53117.84,-54581.64,1.49,1.42,216.33,216.44,41.71,41.71,91.47,91.35,1.03,1.02,-38.01,-30.29,199.89,171.33,5624.41,4764.74,-11.38,-9.97
0.04167,-44531.42,-46563.71,1.72,1.7,202.49,202.62,36.57,36.57,86.41,86.24,0.14,0.14,-34.75,-28.46,187.68,152.47,5260.33,4251.71,-10.76,-9.32
0.05,-35720.47,-38222.99,1.97,1.94,189.11,189.27,30.72,30.72,80.61,80.42,0.25,0.25,-31.71,-26.61,175.94,134.64,4912.09,3789.29,-10.21,-8.15
0.05833,-26295.76,-29418.74,0.23,0.43,177.33,177.49,26.13,26.13,75.09,74.85,0.37,0.36,-27.96,-25.93,163.75,117.46,4580.55,3368.82,-9.74,-6.73
0.06667,-16187.53,-20015.5,0.5,0.47,166.18,166.35,21.78,21.78,68.87,68.69,-0.51,-0.49,-28.47,-27.91,152.15,106.06,4268.08,2988.74,-9.36,-6.72
0.075,-5771.15,-10208.9,-0.22,-0.11,153.67,153.89,19.65,19.65,64.94,64.7,0.62,0.62,-28.27,-27.03,141.14,93.89,3973.46,2647.78,-9.08,-5.57
0.08333,4442.45,-392.39,-0.95,-0.83,142.78,142.99,16.7,16.7,60.3,60.04,0.74,0.75,-25.34,-26.32,129.7,82.41,3697.2,2341.06,-7.87,-3.62
0.09167,13952.62,9000.58,-0.68,-0.72,132.5,132.72,13.92,13.92,55.92,55.66,0.88,0.88,-25.67,-24.76,118.81,72.45,3436.71,2069.04,-6.75,-1.67
0.1,22376.02,17591.13,-0.41,-0.46,122.81,123.04,10.28,10.28,51.8,51.54,1.02,1,-27.26,-21.17,110.47,63.53,3192.31,1825.16,-6.7,-1.04
0.10833,29464.69,25102.43,0.86,0.59,112.69,112.94,8.75,8.75,47.94,47.66,0.17,0.2,-28.12,-12.79,104.64,55.28,2963.3,1606.53,-6.71,-1.7
0.11667,35122.21,31372.85,1.13,1.07,104.1,104.33,7.31,7.31,44.31,44.03,1.32,1.3,-27.25,1.69,96.3,47.28,2747.97,1414.43,-6.79,-3.07
0.125,39391.16,36359.95,1.41,1.34,97.03,97.24,5.94,5.94,40.9,40.63,0.48,0.46,-26.64,18.66,89.43,40.33,2547.6,1241.81,-4.93,-4.13
0.13333,42430.75,40128.57,2.71,2.37,90.45,90.65,4.63,4.63,37.71,37.44,-0.35,-0.35,-26.3,33.94,82.01,35.39,2360.46,1091.89,-4.12,-5.37
0.14167,44459.8,42826.96,3.04,2.95,84.33,84.54,2.36,2.36,34.72,34.45,-0.19,-0.15,-25.22,51.05,76.02,29.1,2185.86,958.05,-2.35,-4.61
0.15,45709.93,44644.73,4.4,4,77.66,77.89,1.12,1.12,31.92,31.65,0.98,0.98,-24.38,69.99,69.42,24.84,2024.11,837.35,-1.61,-3.95
0.15833,46394.76,45778.82,4.8,4.67,71.4,71.63,-1.11,-1.11,29.3,29.14,1.15,1.12,-21.77,91.57,64.19,22.02,1872.52,734.12,-0.88,-3.4
0.16667,46685.88,46410.27,6.24,5.77,65.53,65.75,-2.35,-2.35,27.85,27.58,0.32,0.33,-17.36,113.99,59.32,18.61,1730.44,643.29,-1.17,-3.53
0.175,46710.94,46686.03,5.75,5.92,61.02,61.21,-2.61,-2.61,25.55,25.41,0.5,0.47,-11.1,136.98,53.78,18.06,1599.25,562.21,-1.47,-3.8
0.18333,46556.69,46709.9,5.3,5.46,55.86,56.08,-2.89,-2.89,24.4,24.15,-0.31,-0.31,-1.93,159.49,48.56,16.86,1477.33,492.14,-2.8,-5.17
0.19167,46283.09,46570.38,5.91,5.68,52.03,52.2,-4.21,-4.21,22.4,22.02,-0.13,-0.12,9.23,182.32,44.62,14.46,1364.12,429.17,-3.14,-4.76
0.2,45931.32,46320.33,4.57,5.1,47.5,47.71,-5.56,-5.56,19.52,19.27,0.05,0.1,19.49,200.4,39.95,13.59,1258.05,373.5,-3.52,-4.21
0.20833,45516.9,45995.85,3.28,3.81,43.24,43.45,-6.97,-6.97,17.76,17.52,1.23,1.24,28.94,209.77,37.54,12.44,1160.6,323.96,-4.94,-3.61
0.21667,45052.71,45612.54,2.02,2.55,40.26,40.41,-7.45,-7.45,16.11,15.88,1.42,1.43,38.67,213.45,33.36,13.25,1072.26,281.72,-5.4,-2.17
0.225,44553.09,45181.81,1.78,1.88,35.51,35.76,-5.99,-5.99,14.56,14.34,1.61,1.57,49.79,210.99,29.4,14.52,988.57,243.4,-4.91,-1.77
0.23333,44022.84,44715.69,0.55,1.11,32,32.19,-6.59,-6.59,13.12,12.9,0.81,0.76,61.41,203.4,26.64,16.14,910.08,210.29,-4.47,-1.47
0.24167,43483.33,44220.51,-0.67,-0.09,29.69,29.82,-7.27,-7.27,11.76,11.55,0,0.01,73.62,194.38,24.07,11.39,837.35,182.64,-4.07,2.53
0.25,42915.48,43709.99,-1.89,-1.29,26.59,26.77,-8.01,-8.01,10.48,10.45,0.2,0.21,87.52,185.03,22.68,7.44,771,160.02,-3.71,5.36
0.25833,42326.83,43180.93,-2.13,-2.01,24.66,24.77,-7.83,-7.83,10.28,10.08,0.41,0.42,101.16,169.13,20.46,6.18,710.65,136.24,-3.39,2.22
0.26667,41725.54,42629.86,-2.39,-2.25,23.9,23.95,-7.73,-7.73,9.15,8.96,0.61,0.62,115.55,148.73,18.38,4.09,654.94,116.17,-3.1,0.98
0.275,41108.43,42063.54,-1.67,-2.05,21.3,21.46,-7.7,-7.7,8.09,8.09,0.82,0.7,129.71,126.23,18.45,3.07,602.54,100.48,-3.85,-0.73
0.28333,40473.02,41484.54,-1.96,-1.8,19.83,19.93,-7.75,-7.75,8.09,7.91,-0.98,-1.03,144.65,103.05,17.66,2.37,554.15,86.77,-3.63,-1.08
0.29167,39813.46,40890.36,-2.28,-2.1,18.51,18.6,-7.88,-7.88,7.14,7.17,-1.78,-1.77,158.39,80.76,16.98,2.93,510.47,75.79,-4.46,-1.19
