"half_width","sample","before","after"
0.2,"sample-1",47.1252238776763,87.6988866173361
0.2,"sample-2",39.8984455582466,81.0170254437163
0.2,"sample-3",75.9491876254634,80.8996640544887
0.2,"sample-4",79.273323998405,84.0793152724938
0.25,"sample-1",61.491687819107,90.9014248971548
0.25,"sample-2",54.5309010704325,82.695331251653
0.25,"sample-3",81.7725483962316,84.2751478449348
0.25,"sample-4",84.7806620358127,86.2621053730751
0.3,"sample-1",74.411708983336,92.3417912331714
0.3,"sample-2",67.9679367712317,83.4014497828005
0.3,"sample-3",85.024220660518,85.7051998940484
0.3,"sample-4",87.154962679536,87.145860863996
0.4,"sample-1",88.9418534410598,93.3223300627382
0.4,"sample-2",82.0005516893616,83.8894016235004
0.4,"sample-3",86.7698549358971,86.6074994947895
0.4,"sample-4",87.8866947232894,87.7344218733576
0.5,"sample-1",92.5619907770508,93.5952551935988
0.5,"sample-2",83.8911980723186,84.035316365052
0.5,"sample-3",86.9246304946699,86.8509568047312
0.5,"sample-4",87.90421678758,87.8881454519413
